Name of all the Schools in the ULB,Location/Landmark,Contact Official,Office Contact,Whether Green Army Unit functioning (Yes/No),Ward No.
KawdiarNirmalaBhavan English Medium HSS,Kowdiar P.O 695 003,HM/Principal,0471-2317772,Yes,23
Kazhakkuttom Al-Uthumen EM HSS ,Kazhakkuttom P.O 695 582,HM/Principal,0471-2418448,,
Kudappanakunnu Mary Giri EM  HS,Thiruvananthapuram-695043,HM/Principal,0471-2732724,,
Mukolackal St. Thomas HSS,Mukkolackkal P.O 695 005,HM/Principal,0471-2511110,,
NalanchiraSarvodaVidyalaya HSS,Bethani Hills Nalanchira P.O 695 015,HM/Principal,0471-2530831,,
Perunthanni NSS HSS,"Perunthanni, Vallakkadavu P.O 695 008",HM/Principal,,,
Thiruvananthapuram Holy Angels Convent HSS,General Hospital Jn. 695 001,HM/Principal,0471-2476166,Yes,82
VazhuthacaduChinmayaVidyalaya HSS,VazhuthacaduSasthamangalam P.O 695 010,HM/Principal,0471-2724136,,
Vellayambalam Christ Nagar EMHSS,Konchira P.O 695 003,HM/Principal,0471-2318485,,
VellayambalamVidhyadhi Raja VidyaMandir HSS,Udarasiromani Road Vellayambalam 695 010,HM/Principal,0471-2724136,,
Ambalathara Govt. UPS,Poonthura P.O 695 026,HM/Principal,9447022860,,
Beemapally Govt. UPS,Vallakkadavu P.O 695 008,HM/Principal,9746999704,,
Chalai Govt. UPS,Chalai P.O 695 036,HM/Principal,8281692959,,
Fort Govt.UPS,Thiruvananthapuram-9,HM/Principal,9037695841,,
Karumom Govt. UPS,Karumom B P.O 695 002,HM/Principal,9495545402,,
Konchiravila Govt. UPS,Manacaud P.O 695 009,HM/Principal,9495628659,,
Kulasekharam Govt. UPS,Vattiyootkavu P.O 695 013,HM/Principal,9847630917,,
Muttathara PSM UPS(Panchayath School),Vallakkadavu P.O 695 008,HM/Principal,9400183054,,
Nedumcaud Govt. UPS,Karamana P.O 695 002,HM/Principal,8281888756,,
PoojappuraGovt.UPS,Thiruvananthapuram-12,HM/Principal,9447318608,,
Sreevaraham Govt. UPS,Manacaud P.O 695 009,HM/Principal,9446082895,,
Thirumala Govt. UPS,Thirumala P.O 695 006,HM/Principal,9496750770,,
Valiyathura Govt. UPS,Vallakkadavu P.O 695 008,HM/Principal,9497360564,,
Anchamada St. John's UPS,Vattiyootkavu P.O 695 013,HM/Principal,9446179657,,
SasthamangalamSisuvihar UPS,Sasathamangalam P.O 695 010,HM/Principal,9497847931,Yes,22
Ambalathara Cordova EM UPS,Thiruvananthapuram,HM/Principal,23883839,,
KarakkamandapamSt.Antony's UPS,Nemom.P.O 695020,HM/Principal,9497691206,,
ManacaudJawaharVidya EM UPS,Manacaud P.O 695 009,HM/Principal,,,
ManacaudSreeVidyadhirajaVidyalayam UPS,Manacaud P.O 695 009,HM/Principal,9447587627,,
NarippilSt.Mary's  UPS,Pappanamcode.P.O 695018,HM/Principal,4712490407,,
Thycaud Muslim Association Model UPS,Thycaud P.O 695 014,HM/Principal,4712329259,,
Chakai UPS,Pettah P.O Trivandrum 695 024,HM/Principal,9495630292,,
Cheruvaikkal GUPS,Sreekariam P.O 695 017,HM/Principal,9496366757,,
Chettikulangara UPS,GPO P.O Trivandrum 1,HM/Principal,9744936430,,
Eanchakkal GUPS,Vallakkadavu P.O 695 008,HM/Principal,9446405294,,
Fort UPS,Fort P.O 695 023,HM/Principal,9995568122,,
Kudappanakkunnu GUPS,Kudappanakkunnu Trivandrum 43,HM/Principal,9497785737,,
Kumarapuram GUPS,Medical College P.O 695 011,HM/Principal,9496257287,,
Kunnukuzhy GUPS,Trivandrum 37,HM/Principal,9895714007,,
Kuravankonam SPTPM UPS,Kowdiar P.O 695 003,HM/Principal,9605260587,,
Kusavarkal GUPS,Mukkola P. O 44,HM/Principal,9446978416,,
Palkulangara UPS,Vallakkadavu P.O 695 008,HM/Principal,94470096393,,
Thampanoor GUPS,Trivandrum- 1,HM/Principal,9495203819,,
Ulloor GUPS,Medical College P.O 695 011,HM/Principal,9747023666,,
Cheruvaikkal St. Epherm's UPS,Medical College P.O 695 011,HM/Principal,8281961159,,
Contonment LMS UPS,Trivandrum- 33,HM/Principal,9400830430,,
Peroorkada Concordia UPS,Peroorkada P.O 695 005,HM/Principal,9048601616,,
Peroorkada TEM UPS,Peroorkada P.O 695 005,HM/Principal,9497693070,,
Valiyaudeswaram UPS,Anayara P.O Trivandrum 29,HM/Principal,9495408934,,
Vallakkadavu VMJ UPS,Trivandrum- 8,HM/Principal,9526009523,,
NettayamSree Ramakrishna UPS,Nettaym,HM/Principal,9495555719,,
Kowdiar St. Shantal UPS,Kowdiar P.O 695 003,HM/Principal,8606049489,,
Chanathavila  UP,Kattaikonam P.O 695 584,HM/Principal,9447041019,,
Kariyavattom UPS,Kariyavattom P.O 695 581,HM/Principal,9495833230,,
Kattaikonam UPS,Kattaikonam P.O 695 584,HM/Principal,9447862413,,
Kuzhivila UPS,Karimanal P.O 695 583,HM/Principal,9497761090,,
Aramada Govt. LPS,Aramada P.O 695 032,HM/Principal,9495391910,,
Chalai Govt. Tamil LPS,Chalai P.O 695 036,HM/Principal,9446434523,,
Cotton Hill Govt. LPS,Sasathamangalam P.O 695 010,HM/Principal,9447491188,,
Kanjirampara Govt. LPS,Kanjirampara P.O 695 030,HM/Principal,9495629843,,
Karamana Govt. HSLPS,Karamana P.O 695 002,HM/Principal,9288958838,,
Karamana Govt. S.S. LPS,Karamana P.O 695 002,HM/Principal,9496259922,,
KunnapuzhaGovt.LPS,Aramada P.O 695 032 ,HM/Principal,9495301641,,
Kuriathy Govt. LPS,Manacaud P.O 695 009,HM/Principal,9895454474,,
Mankad Govt. LPS,Thirumala P.O 695 006,HM/Principal,9495200952,,
Mettukada Govt. LPS,Thycaud P.O 695 014,HM/Principal,9645674019,,
Mudavanmugal Govt. LPS,Poojappura P.O 695 012,HM/Principal,9495531549,,
Pachalloor Govt. LPS,Thiruvallam P.O 695 027,HM/Principal,9495377164,,
PanathuraGovt LPS,Thiruvallam P.O 695 027,HM/Principal,9497852305,,
Pangode Govt. LPS,Thirumala P.O 695 006,HM/Principal,9744618919,,
Pappanamcode Govt. LPS,Industrial Estate P.O 695 019,HM/Principal,9447584426,,
Poonkulam Govt. LPS,Vellayani P.O 685 522,HM/Principal,8281293919,,
Sasthamangalam Govt. LPS,Sasathamangalam P.O 695 010,HM/Principal,8547691971,,
Thiruvallam Govt. LPS,Thiruvallam P.O 695 027,HM/Principal,8089399858,,
Thrivikramangalam Govt. LPS,Poojappura P.O 695 012,HM/Principal,9495832749,,
ThycaudGovt.Mode HSLPS,Thycaud P.O 695 014,HM/Principal,9526252028,,
Thycaud Govt. LPS,Thycaud P.O 695 014,HM/Principal,9446543815,,
Valiasala Govt. LPS,Chalai P.O 695 036,HM/Principal,9447791871,,
Valiyathura Govt. LPS,Vallakkadavu P.O 695 008,HM/Principal,9447553186,,
Ponnumangalam MSC LPS,Nemom P.O 695 020,HM/Principal,9349872030,,
Poozhikunnu St. Antony's LPS,Industrial Estate P.O 695 019,HM/Principal,9447903480,,
Punchakkari B.N.V. LPS,Thiruvallam P.O 695 027,HM/Principal,9447586981,,
Thrivikramangalam MSC. LPS,Poojappura P.O 695 012,HM/Principal,9446100828,,
Vellayani MSC LPS,Ookkodu P.O Nemom,HM/Principal,9447768908,,
Santhivila Tolstoy Memorial E.M. LPS,"Santhivila, Vellayani",HM/Principal,……,,
Thirumala Roy Kindergarten LPS,Thirumala P.O 695 006,HM/Principal,…..,,
Thiruvallam A.N.S.M. English Medium LPS,Thiruvallam P.O 695 027,HM/Principal,…..,,
Valiyathura St. Antony's LPS,Vallakkadavu P.O 695 008,HM/Principal,…..,,
Peroorkada HS LPS,Peroorkada P.O 695 005,HM/Principal,9497771604,,
Fort LPS,Trivandrum- 23,HM/Principal,9447013959,,
Fort Sanskrit HSLPS,Fort P.O 695 023,HM/Principal,9746937205,,
Kannamoola GLPS,Medical College P.O 695 011,HM/Principal,8547350814,,
Manchampara LPS,MoonnammoodeKodunganoor P.O 13,HM/Principal,9946722457,,
Oolampara GLPS,Peroorkada P.O 695 005,HM/Principal,9495507663,,
Oruvathilkotta LPS,Anayara P.O Trivandrum 29,HM/Principal,9895456069,,
Pettah LPS,Pettah P.O 695 024,HM/Principal,9446505977,,
