Sl..No.,Ward.No,Ward.Name,Population,Latitude,Longitude,Required.number.of.bins,Waste.gnerated.by.ward,Existing.bins,Bins.to.be.constructed
72,Ward No - 72,Manacaud,7853,8.4718533,76.9517797,2,1716.072379,1,1
73,Ward No - 73,Kuriathy,7875,8.4720665,76.9505784,2,1720.879917,0,2
74,Ward No - 74,Puthenpally,4222,8.4480169,76.948385,1,922.6101598,0,1
75,Ward No - 75,Manickavilakom,3098,8.4014911,77.1326969,1,676.9886962,0,1
76,Ward No - 76,Beemapally East,15031,8.4513897,76.9398195,4,3284.640766,0,4
77,Ward No - 77,Beemapally,14229,8.4513897,76.9398195,4,3109.38417,0,4
78,Ward No - 78,Muttathara,14199,8.463835,76.9394388,4,3102.828437,1,3
79,Ward No - 79,Sreevaraham,8215,8.4776232,76.9419803,2,1795.178224,0,2
80,Ward No - 80,Fort,6296,8.4810022,76.9427006,2,1375.829836,1,1
81,Ward No - 81,Thampanoor,9591,8.490873,76.9527483,2,2095.867845,0,2
82,Ward No - 82,Vanchiyoor,8258,8.4943246,76.9398195,2,1804.574775,0,2
83,Ward No - 83,Sreekandeswaram,7661,8.4875351,76.9422498,2,1674.115688,2,0
84,Ward No - 84,Perunthanni,11562,8.4827956,76.9362182,3,2526.579505,0,3
85,Ward No - 85,Palkulangara,6913,8.4860772,76.9340573,2,1510.659411,1,1
86,Ward No - 86,Chacka,8536,8.4948358,76.9153281,2,1865.324568,0,2
87,Ward No - 87,Valiyathura,11749,8.4646156,76.9275756,3,2567.443574,0,3
88,Ward No - 88,Vallakkadavu,10705,8.4749797,76.919523,3,2339.304065,2,1
89,Ward No - 89,Sanghummukham,12991,8.4833075,76.911726,3,2838.850921,0,3
90,Ward No - 90,Vettucaud,9950,8.4964792,76.9016845,2,2174.318117,0,2
91,Ward No - 91,Karckakom,9088,8.5046811,76.9039318,2,1985.950055,0,2
92,Ward No - 92,Kadakampally,11075,8.5007063,76.9180174,3,2420.158105,0,3
93,Ward No - 93,Pettah,7716,8.49503,76.92936,2,1686.134532,2,0
94,Ward No - 94,Kannammoola,8983,8.5047689,76.9311761,2,1963.00499,0,2
95,Ward No - 95,Anamukham,20244,8.5138609,76.9161526,5,4423.808639,0,5
96,Ward No - 96,Aakkulam,7980,8.5334906,76.9047438,2,1743.824982,0,2
97,Ward No - 97,Kulathoor,5065,8.3319382,77.0967357,1,1106.826258,0,1
98,Ward No - 98,Attipra,9023,8.543374,76.891935,2,1971.745967,0,2
99,Ward No - 99,Poundkadavu,7803,8.5319365,76.8814643,2,1705.146158,0,2
100,Ward No - 100,Pallithura,12538,8.5507384,76.8620064,3,2739.859352,0,3
