Date,Waste generated (kg),,,
2-10-18,3,,,
18/4/18,6,,,
19/4/18,3,,,
21/4/18,5,,,
24/4/18,1,,,
29/4/18,5,,,
30/4/18,2,,,
3-4-18,5,,,
5-4-18,5,,,
3-5-18,5,,,
3-5-18,5,,,
10-5-18,10,,,
11-5-18,5,,,
12-5-18,8,,,
16/5/18,3,,,
18/5/18,5,,,
20/5/18,5,,,
21/5/18,7,,,
22/5/18,3.5,,,
23/5/18,0.5,,,
24/5/18,5,,,
28/5/18,3,,,
1-1-19,12,,,
2-1-19,5,,,
3-1-19,17,,,
4-1-19,20,,,
5-1-19,2,,,
5-1-19,3,,,
6-1-19,3,,,
7-1-19,3,,,
10-1-19,2,,,
11-1-19,5,,,
12-1-19,0.25,,,
13/1/19,3,,,
16/1/19,3,,,
17/1/19,0.5,,,
18/1/19,0,,,
19/1/19,14,,,
20/1/19,1,,,
21/1/19,3,,,
22/1/19,3.5,,,
26/1/19,1,,,
27/1/19,1,,,
29/1/19,2,,,
30/1/19,3,,,
1-2-19,3,,,
2-2-19,9,,,
3-2-19,0,,,
4-2-19,2,,,
5-2-19,9,,,
9-2-19,2,,,
10-2-19,2,,,
11-2-19,5,,,
12-2-19,3,,,
13/2/19,0.5,,,
14/2/19,2.5,,,
15/2/19,4,,,
16/2/19,3,,,
17/2/19,2,,,
18/2/19,1,,,
20/2/19,2,,,
21/2/19,2,,,
22/2/19,1,,,
23/2/19,5,,,
24/2/19,6,,,
25/2/19,1,,,
26/2/19,1,,,
27/2/19,5,,,
28/2/19,6,,,
1-3-19,2,,,
2-3-19,2,,,
3-3-19,4.5,,,
4-3-19,3,,,
5-3-19,2,,,
6-3-19,1,,,
7-3-19,3.5,,,
8-3-19,2,,,
9-3-19,2,,,
11-3-19,1,,,
12-3-19,4,,,
13/3/19,25.5,,,
14/3/19,2,,,
15/3/19,32,,,
17/3/19,12,,,
20/3/19,1.5,,,
21/3/19,0.5,,,
22/3/19,0.5,,,
23/3/19,14,,,
24/3/19,1,,,
25/3/19,10,,,
26/3/19,8,,,
27/3/19,7,,,
28/3/19,3.5,,,
29/3/19,3,,,
30/3/19,2,,,
31/3/19,4.5,,,
1-4-19,3.25,,,
2-4-19,3,,,
3-4-19,4.5,,,
4-4-19,0.5,,,
5-4-19,4,,,
6-4-19,2,,,
7-4-19,18,,,
8-4-19,14,,,
9-4-19,0,,,
12-4-19,1,,,
13/4/19,5,,,
14/4/19,1,,,
16/4/19,0.5,,,
10-1-19,1,,,
28/1/19,4,,,
9-3-19,4,,,
13/3/19,5,,,
16/5/19,10,,,
30/4/19,14,,,
2-1-19,0.5,,,
8-2-19,0.5,,,
9-2-19,1,,,
14/2/19,1,,,
8-6-19,7,,,
6-6-19,1,,,
7-6-19,1,,,
10-6-19,0.5,,,
11-6-19,4,,,
12-6-19,2,,,
13/4/19,4,,,
14/6/19,18,,,
1-6-19,14,,,
3-6-19,3,,,
4-6-19,1,,,
5-6-19,11,,,
7-6-19,6.5,,,
8-6-19,21.5,,,
9-6-19,2,,,
10-6-19,7.5,,,
13/6/19,4,,,
14/6/19,0.5,,,
15/6/19,1,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
