Date,Waste generated (kg)
30-12-2018,40
31-12-2018,38
01-01-2019,22
02-01-2019,28
03-01-2019,20
04-01-2019,0
05-01-2019,35
06-01-2019,41
07-01-2019,0
08-01-2019,0
09-01-2019,38
10-01-2019,47
11-01-2019,47
12-01-2019,41
13-01-2019,49
14-01-2019,40
15-01-2019,49
16-01-2019,42
17-01-2019,49
18-01-2019,33
19-01-2019,51
20-01-2019,45
21-01-2019,44
22-01-2019,44
23-01-2019,43
24-01-2019,30
25-01-2019,42
26-01-2019,21
27-01-2019,45
28-01-2019,25
29-01-2019,49
30-01-2019,28
31-01-2019,42
01-02-2019,25
02-02-2019,45
03-02-2019,
04-02-2019,39
05-02-2019,
06-02-2019,41
07-02-2019,45
08-02-2019,39
09-02-2019,25
10-02-2019,43
11-02-2019,34
12-02-2019,44
13-02-2019,42
14-02-2019,25
15-02-2019,26
16-02-2019,47
17-02-2019,31
18-02-2019,33
19-02-2019,37
20-02-2019,40
21-02-2019,0
22-02-2019,20
23-02-2019,40
24-02-2019,28
25-02-2019,36
26-02-2019,26
27-02-2019,42
28-02-2019,31
01-03-2019,44
02-03-2019,8
03-03-2019,46
04-03-2019,20
05-03-2019,40
06-03-2019,22
07-03-2019,44
08-03-2019,30
09-03-2019,43
10-03-2019,29
11-03-2019,31
12-03-2019,53
13-03-2019,17
14-03-2019,42
15-03-2019,44
16-03-2019,37
17-03-2019,42
18-03-2019,17
19-03-2019,27
20-03-2019,0
21-03-2019,25
22-03-2019,41
23-03-2019,39
24-03-2019,43
25-03-2019,29
26-03-2019,22
27-03-2019,26
28-03-2019,38
29-03-2019,47
30-03-2019,46
31-03-2019,0
01-04-2019,0
02-04-2019,46
03-04-2019,0
04-04-2019,45
05-04-2019,0
06-04-2019,3
07-04-2019,0
08-04-2019,42
09-04-2019,0
10-04-2019,0
11-04-2019,11
12-04-2019,37
13-04-2019,0
14-04-2019,24
15-04-2019,0
16-04-2019,8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
