DAY,PLASTIC WASTE(Kg),FOOD WASTE(Kg)
,,
WEEK 1,,
22-Sep-2018,,1
23-Sep-2018,,
24-Sep-2018,,
25-Sep-2018,,
26-Sep-2018,,
27-Sep-2018,,1
28-Sep-2018,,
,,
WEEK 5,,
29-Sep-2018,,
30-Sep-2018,,
,,
,,
WEEK 1,,
1-Oct-2018,,1
2-Oct-2018,,
3-Oct-2018,,2
4-Oct-2018,,
5-Oct-2018,,
6-Oct-2018,,
7-Oct-2018,,
,,
WEEK 2,,
8-Oct-2018,,1
9-Oct-2018,,
10-Oct-2018,,1
11-Oct-2018,,
12-Oct-2018,,
13-Oct-2018,,
14-Oct-2018,,
,,
WEEK 3,,
15-Oct-2018,,1
16-Oct-2018,,1
17-Oct-2018,,
18-Oct-2018,,
19-Oct-2018,,
20-Oct-2018,,
21-Oct-2018,,1
,,
WEEK 4,,
22-Oct-2018,,
23-Oct-2018,,
24-Oct-2018,,
25-Oct-2018,,
26-Oct-2018,,3
27-Oct-2018,,
28-Oct-2018,,
,,
WEEK 5,,
29-Oct-2018,,
30-Oct-2018,,
31-Oct-2018,,
,,
,,
WEEK 1,,
1-Nov-2018,,
2-Nov-2018,,1
3-Nov-2018,,
4-Nov-2018,,
5-Nov-2018,,
6-Nov-2018,,
7-Nov-2018,,1
,,
WEEK 2,,
8-Nov-2018,,
9-Nov-2018,,
10-Nov-2018,,
11-Nov-2018,,
12-Nov-2018,,
13-Nov-2018,,
14-Nov-2018,,
,,
WEEK 3,,
15-Nov-2018,,
16-Nov-2018,,
17-Nov-2018,,
18-Nov-2018,,
19-Nov-2018,,1
20-Nov-2018,,
21-Nov-2018,,
,,
WEEK 4,,
22-Nov-2018,,
23-Nov-2018,,1
24-Nov-2018,,
25-Nov-2018,,
26-Nov-2018,,
27-Nov-2018,,
28-Nov-2018,,
,,
WEEK 5,,
29-Nov-2018,,1
30-Nov-2018,,3
,,
,,
WEEK 1,,
1-Dec-2018,,
2-Dec-2018,,
3-Dec-2018,,
4-Dec-2018,,
5-Dec-2018,,1
6-Dec-2018,,2
7-Dec-2018,,
,,
WEEK 2,,
8-Dec-2018,,1
9-Dec-2018,,
10-Dec-2018,,
11-Dec-2018,,1
12-Dec-2018,,
13-Dec-2018,,
14-Dec-2018,,
,,
WEEK 3,,
15-Dec-2018,,
16-Dec-2018,,
17-Dec-2018,,
18-Dec-2018,,
19-Dec-2018,,2
20-Dec-2018,,
21-Dec-2018,,2
,,
WEEK 4,,
22-Dec-2018,,
23-Dec-2018,,2
24-Dec-2018,,
25-Dec-2018,,
26-Dec-2018,,
27-Dec-2018,,
28-Dec-2018,,2
,,
WEEK 5,,
29-Dec-2018,,
30-Dec-2018,,
31-Dec-2018,,4
,,
,,
WEEK 1,,
1-Jan-2019,,
2-Jan-2019,,
3-Jan-2019,,
4-Jan-2019,,
5-Jan-2019,,
6-Jan-2019,,
7-Jan-2019,,1
,,
WEEK 2,,
8-Jan-2019,,
9-Jan-2019,,1
10-Jan-2019,,
11-Jan-2019,,
12-Jan-2019,,
13-Jan-2019,,2
14-Jan-2019,,
,,
WEEK 3,,
15-Jan-2019,,
16-Jan-2019,,
17-Jan-2019,,5
18-Jan-2019,,1
19-Jan-2019,,
20-Jan-2019,,1
21-Jan-2019,,
,,
WEEK 4,,
22-Jan-2019,,
23-Jan-2019,,
24-Jan-2019,,
25-Jan-2019,,
26-Jan-2019,,2
27-Jan-2019,,
28-Jan-2019,,1
,,
WEEK 5,,
29-Jan-2019,,
30-Jan-2019,,2
31-Jan-2019,,
,,
WEEK 1,,
1-Feb-2019,,
2-Feb-2019,,
3-Feb-2019,,3
4-Feb-2019,,5
5-Feb-2019,,
6-Feb-2019,,
7-Feb-2019,,
,,
WEEK 2,,
8-Feb-2019,,
9-Feb-2019,,
10-Feb-2019,,
11-Feb-2019,,1
12-Feb-2019,,
13-Feb-2019,,2
14-Feb-2019,,
,,
WEEK 3,,
15-Feb-2019,,
16-Feb-2019,,
17-Feb-2019,,
18-Feb-2019,,
19-Feb-2019,,2
20-Feb-2019,,
21-Feb-2019,,
,,
WEEK 4,,
22-Feb-2019,,
23-Feb-2019,,
24-Feb-2019,,
25-Feb-2019,,
26-Feb-2019,,
27-Feb-2019,,
28-Feb-2019,,0.5
,,
,,
,,
WEEK 1,,
1-Mar-2019,,5
2-Mar-2019,,
3-Mar-2019,,1.5
4-Mar-2019,,
5-Mar-2019,,2
6-Mar-2019,,
7-Mar-2019,,
,,
WEEK 2,,
8-Mar-2019,,
9-Mar-2019,,
10-Mar-2019,,2
11-Mar-2019,,
12-Mar-2019,,
13-Mar-2019,,8
14-Mar-2019,,
,,
WEEK 3,,
15-Mar-2019,,
16-Mar-2019,,
17-Mar-2019,,
18-Mar-2019,,1
19-Mar-2019,,
20-Mar-2019,,
21-Mar-2019,,
,,
WEEK 4,,
22-Mar-2019,,
23-Mar-2019,,
24-Mar-2019,,
25-Mar-2019,,5
26-Mar-2019,,12
27-Mar-2019,,3
28-Mar-2019,,13
,,
WEEK 5,,
29-Mar-2019,,
30-Mar-2019,,5.4
31-Mar-2019,,2
,,
WEEK 1,,
1-Apr-2019,,
2-Apr-2019,,
3-Apr-2019,,4
4-Apr-2019,,
5-Apr-2019,,
6-Apr-2019,,1
7-Apr-2019,,11
,,
WEEK 2,,
8-Apr-2019,,4
9-Apr-2019,,
10-Apr-2019,,2
11-Apr-2019,,
12-Apr-2019,,
13-Apr-2019,,2
14-Apr-2019,,
,,
WEEK 3,,
15-Apr-2019,,
16-Apr-2019,,
17-Apr-2019,,
18-Apr-2019,,
19-Apr-2019,,
20-Apr-2019,,10
21-Apr-2019,,7
,,
WEEK 4,,
22-Apr-2019,,
23-Apr-2019,,
24-Apr-2019,,
25-Apr-2019,,
26-Apr-2019,,
27-Apr-2019,,
28-Apr-2019,,
,,
WEEK 5,,
29-Apr-2019,,
30-Apr-2019,,4
,,
,,
WEEK 1,,
1-May-2019,,
2-May-2019,,
3-May-2019,,
4-May-2019,,
5-May-2019,,8
6-May-2019,,11
7-May-2019,,1
,,
WEEK 2,,
8-May-2019,,
9-May-2019,,1
10-May-2019,,
11-May-2019,,
12-May-2019,,
13-May-2019,,
14-May-2019,,
,,
WEEK 3,,
15-May-2019,,
16-May-2019,,
17-May-2019,,
18-May-2019,,
19-May-2019,,
20-May-2019,,
21-May-2019,,
,,
WEEK 4,,
22-May-2019,,
23-May-2019,,
24-May-2019,,
25-May-2019,,1
26-May-2019,,2.5
27-May-2019,,
28-May-2019,,6
,,
WEEK 5,,
29-May-2019,,
30-May-2019,,
31-May-2019,,
,,
WEEK 1,,
1-Jun-2019,,
2-Jun-2019,,
3-Jun-2019,,
4-Jun-2019,,
5-Jun-2019,,
6-Jun-2019,,
7-Jun-2019,,
,,
WEEK 2,,
8-Jun-2019,,5
9-Jun-2019,,
10-Jun-2019,,
11-Jun-2019,,
12-Jun-2019,,
13-Jun-2019,,
14-Jun-2019,,
,,
WEEK 3,,
15-Jun-2019,,
16-Jun-2019,,
17-Jun-2019,,
18-Jun-2019,,
19-Jun-2019,,
20-Jun-2019,,
21-Jun-2019,,
,,
WEEK 4,,
22-Jun-2019,,
23-Jun-2019,,
24-Jun-2019,,
25-Jun-2019,,
26-Jun-2019,,
27-Jun-2019,,
28-Jun-2019,,
,,
WEEK 5,,
29-Jun-2019,,
30-Jun-2019,,
